,image_description,image_link,pl_name,hostname,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_imppar,pl_orbsmax,st_spectype,st_teff,st_rad,st_mass,st_lum,sy_vmag,Notes,planet_category,planet_mass_description,planet_color,planet_color_short,planet_spin,planet_spin_short,stellar_planet_ratio,roche_limit,tidal_locked,stellar_color,stellar_mass_description,mass_prompt,ratio_prompt,size_text_prompt,75_tokens,  
104,0,https://images-assets.nasa.gov/image/PIA06939/PIA06939~thumb.jpg,Venus,Sun,1,8,0,225,0.94857,0.82,5.24,328,0,108.21,G2 V,5772,1,1,1,4.81,0,terrestrial,medium small,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring",has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath,has clouds of various sizes,121.9512206,1.276934596,spins around its orbit so both sides get heat from the sun,yellow,medium small,"A solar system made up of 8 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 8 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 121.95122057593062 the size of it's planet.","A solar system made up of 8 planet(s), 1 star(s), and 0 moon(s). This medium small terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. The planet's star is spins around its orbit so both sides get heat from the sun and yellow.","A yellow, medium small star with a medium small, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, has clouds of various sizes, and spins around its orbit so both sides get heat from the sun",  
105,0,https://images-assets.nasa.gov/image/PIA06939/PIA06939~thumb.jpg,Earth,Sun,1,8,1,365,1,1,5.51,279,0,149.598,G2 V,5772,1,1,1,4.81,0,terrestrial,medium small,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring",has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath,has clouds of various sizes,100,1.26,spins around its orbit so both sides get heat from the sun,yellow,medium small,"A solar system made up of 8 planet(s), 1 star(s), and 1 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 8 planet(s), 1 star(s), and 1 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 100.0 the size of it's planet.","A solar system made up of 8 planet(s), 1 star(s), and 1 moon(s). This medium small terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. The planet's star is spins around its orbit so both sides get heat from the sun and yellow.","A yellow, medium small star with a medium small, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, has clouds of various sizes, and spins around its orbit so both sides get heat from the sun",  
106,0,https://images-assets.nasa.gov/image/PIA06939/PIA06939~thumb.jpg,Mars,Sun,1,8,2,687,0.5326,0.11,3.93,226,0,227.956,G2 V,5772,1,1,1,4.81,0,terrestrial,small,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring",has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath,has clouds of various sizes,909.090914,1.400578541,spins around its orbit so both sides get heat from the sun,yellow,medium small,"A solar system made up of 8 planet(s), 1 star(s), and 2 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 8 planet(s), 1 star(s), and 2 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 909.0909140169127 the size of it's planet.","A solar system made up of 8 planet(s), 1 star(s), and 2 moon(s). This small terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. The planet's star is spins around its orbit so both sides get heat from the sun and yellow.","A yellow, medium small star with a small, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, has clouds of various sizes, and spins around its orbit so both sides get heat from the sun",  
107,"This artist concept depicts 55 Cancri e as it orbits its star. NASA Spitzer Space Telescope has, for the first time, captured the light emanating from a distant super Earth, a planet more massive than Earth but lighter than Neptune.",https://images-assets.nasa.gov/image/PIA15623/PIA15623~thumb.jpg,55 Cnc e,55 Cnc,2,5,0,0.73654741,0.01544,7.99,1958,0.39,0.0182,0,G8 V,5172,0.94,0.91,-0.197,5.95084,0,super-earth,,has a composition of hydrogen and helium producing a distince white color,is white in color,"is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,11.3892372,0.009430095,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,yellow,medium small,"A solar system made up of 5 planet(s), 2 star(s), and 0 moon(s). This super-earth planet is 7 times the size of earth, has a composition of hydrogen and helium producing a distince white color and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and an unknown size compared to the size of the sun.","A solar system made up of 5 planet(s), 2 star(s), and 0 moon(s). This super-earth planet is 7 times the size of earth, has a composition of hydrogen and helium producing a distince white color and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and 11.389237200174454 the size of it's planet.","A solar system made up of 5 planet(s), 2 star(s), and 0 moon(s). This nan super-earth planet has a composition of hydrogen and helium producing a distince white color. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and yellow.","A yellow, medium small star with a nan, super-earth planet. The planet is white in color, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
108,"This artist concept depicts an ultra-dense dead star, called a white dwarf, passing in front of a small red star. NASA planet-hunting Kepler was able to detect gravitational lensing by measuring a strangely subtle dip in the star brightness.",https://images-assets.nasa.gov/image/PIA16885/PIA16885~thumb.jpg,0,0,2,0,0,0,0,0,0,0,0,0,WD,100000,0.01,0.8,0,0,0,unknown planet size,,has an unknown planet color,ia an unknown planet color,rotates around its star,rotates around its star,0,0,0,white,tiny,"A solar system made up of 0 planet(s), 2 star(s), and 0 moon(s). This unknown planet size planet is an unknown size compared to the size of earth, has an unknown planet color and rotates around its star. This planet has an unknown spin. The planet's star is white and an unknown size compared to the size of the sun.","A solar system made up of 0 planet(s), 2 star(s), and 0 moon(s). This unknown planet size planet is an unknown size compared to the size of earth, has an unknown planet color and rotates around its star. This planet has an unknown spin. The planet's star is white and 0.0 the size of it's planet.","A solar system made up of 0 planet(s), 2 star(s), and 0 moon(s). This nan unknown planet size planet has an unknown planet color. This planet rotates around its star. The planet's star is has an unknown spin and white.","A white, tiny star with a nan, unknown planet size planet. The planet ia an unknown planet color, rotates around its star, and 0.0",  
109,"This artist concept is of the one-million-year-old star system called UX Tau A, approximately 450 light-years away. NASA Spitzer Space Telescope showed a gap in the dusty planet-forming disk swirling around the system central sun-like star.",https://images-assets.nasa.gov/image/PIA10118/PIA10118~thumb.jpg,0,UX Tau A,1,1,0,0,0,0,0,0,9.538,0,G2 V,5772,1.996,1,0,0,0,unknown planet size,,has an unknown planet color,ia an unknown planet color,rotates around its star,rotates around its star,0,0,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,yellow,medium small,"A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This unknown planet size planet is an unknown size compared to the size of earth, has an unknown planet color and rotates around its star. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This unknown planet size planet is an unknown size compared to the size of earth, has an unknown planet color and rotates around its star. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and 0.0 the size of it's planet.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This nan unknown planet size planet has an unknown planet color. This planet rotates around its star. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and yellow.","A yellow, medium small star with a nan, unknown planet size planet. The planet ia an unknown planet color, rotates around its star, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
110,"This artist concept, based on data from NASA Herschel telescope, illustrates an icy planet-forming disk around a young star called TW Hydrae, located about 175 light-years away in the Hydra, or Sea Serpent, constellation.",https://images-assets.nasa.gov/image/PIA14870/PIA14870~thumb.jpg,0,TW Hydrae,1,1,0,0,0,0,0,260,0,0,K6,4000,1.11,0.8,0,0,0,unknown planet size,,is an unknown planet color,unknown planet color,rotates around its star,rotates around its star,0,0,0,light orange,small,"A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This unknown planet size planet is an unknown size compared to the size of earth, is an unknown planet color and rotates around its star. This planet has an unknown spin. The planet's star is light orange and an unknown size compared to the size of the sun.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This unknown planet size planet is an unknown size compared to the size of earth, is an unknown planet color and rotates around its star. This planet has an unknown spin. The planet's star is light orange and 0.0 the size of it's planet.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This nan unknown planet size planet is an unknown planet color. This planet rotates around its star. The planet's star is has an unknown spin and light orange.","A light orange, small star with a nan, unknown planet size planet. The planet unknown planet color, rotates around its star, and 0.0",  
111,"This artist concept shows tides on Titan raised by Saturn gravity, as detected by NASA Cassini spacecraft. Saturn gravitational pull on Titan, its largest moon, varies as Titan orbits along an elliptical path around the planet every 16 days.",https://images-assets.nasa.gov/image/PIA15606/PIA15606~thumb.jpg,Titan,Saturn (Saturnâ€™s largest moon),1,8,1,16,0.404,0.018,1.88,94,9.538,0,G2 V,5772,1.996,1,1,4.81,0,terrestrial,tiny,has high quantities of methane known for its rich blue color,is rich blue in color,"is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,5555.555795,1.942351222,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,yellow,medium small,"A solar system made up of 8 planet(s), 1 star(s), and 1 moon(s). This terrestrial planet is an unknown size compared to the size of earth, has high quantities of methane known for its rich blue color and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 8 planet(s), 1 star(s), and 1 moon(s). This terrestrial planet is an unknown size compared to the size of earth, has high quantities of methane known for its rich blue color and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and 5555.555794710005 the size of it's planet.","A solar system made up of 8 planet(s), 1 star(s), and 1 moon(s). This tiny terrestrial planet has high quantities of methane known for its rich blue color. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and yellow.","A yellow, medium small star with a tiny, terrestrial planet. The planet is rich blue in color, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
112,"This artist's concept shows planet KELT-9b orbiting its host star, KELT-9. It is the hottest gas giant planet discovered so far.  With a dayside temperature of more than 7,800 degrees Fahrenheit (4,600 Kelvin), KELT-9b is a planet that is hotter than most stars. But its star, called KELT-9, is even hotter -- a blue A-type star that is likely unraveling the planet through evaporation.  KELT-9b is a gas giant 2.8 times more massive than Jupiter, but only half as dense. Scientists would expect the planet to have a smaller radius, but the extreme radiation from its host star has caused the planet's atmosphere to puff up like a balloon.  The planet is also unusual in that it orbits perpendicular to the spin axis of the star. That would be analogous to the planet orbiting perpendicular to the plane of our solar system. One ""year"" on this planet is less than two days long.  The KELT-9 star is only 300 million years old, which is young in star time. It is more than twice as large, and nearly twice as hot, as our sun. Given that the planet's atmosphere is constantly blasted with high levels of ultraviolet radiation, the planet may even be shedding a tail of evaporated planetary material like a comet.",https://images-assets.nasa.gov/image/PIA21472/PIA21472~thumb.jpg,KELT-9 b,KELT-9,2,1,0,1.481123447,21.196,915.3504,0.53,4050,0.177,0,B9.5,10170,2.36,2.52,1.724,7.55,0,gas-giant,massive,is dominated by silicate and iron clouds most notably variations of red coloring,a shade of red in color,"has stripes of thick clouds of various coloring defined by clear, sharp edges","has clear, sharp-edge stripes of thick clouds",0.275304405,3.743077552,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,blue white,giant,"A solar system made up of 1 planet(s), 2 star(s), and 0 moon(s). This gas-giant planet is 915 times the size of earth, is dominated by silicate and iron clouds most notably variations of red coloring and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is blue white and 2 times the size of the sun.","A solar system made up of 1 planet(s), 2 star(s), and 0 moon(s). This gas-giant planet is 915 times the size of earth, is dominated by silicate and iron clouds most notably variations of red coloring and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is blue white and 0.2753044050813554 the size of it's planet.","A solar system made up of 1 planet(s), 2 star(s), and 0 moon(s). This massive gas-giant planet is dominated by silicate and iron clouds most notably variations of red coloring. This planet has stripes of thick clouds of various coloring defined by clear, sharp edges. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and blue white.","A blue white, giant star with a massive, gas-giant planet. The planet a shade of red in color, has clear, sharp-edge stripes of thick clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
113,"This frame from a video depicts artist concepts of each of the seven planets orbiting TRAPPIST-1, an ultra-cool dwarf stars.  Over 21 days, NASA's Spitzer Space Telescope measured the drop in light as each planet passed in front of the star. Spitzer was able to identify a total of seven rocky worlds, including three in the habitable zone where life is possible. The study established the planets' size, distance from their sun and, for some of them, their approximate mass and density. It also established that some, if not all, these planets are tidally locked, meaning one face of the planet permanently faces their sun.  The planets appear in the order of innermost to outermost planets.  These artist's concepts were designed as follows: TRAPPIST-1b, closest to the star, was modeled on Jupiter's moon Io, which has volcanic features due to strong gravitational tugs. TRAPPIST-1c is shown as a rocky, warm world with a small ice cap on the side that never faces the star. TRAPPSIT-1d is rocky and has water only in a thin band along the terminator, dividing the day side and night side.  TRAPPIST-1e and TRAPPIST-1f are both shown covered in water, but with progressively larger ice caps on the night side. TRAPPIST-1g is portrayed with an atmosphere like Neptune's, although it is still a rocky world. The farthest planet, TRAPPIST-1h, is shown as covered in ice, similar to Jupiter's icy moon Europa.  The background stars are what you would see if you were in the TRAPPIST-1 system. Orion passes behind the planets, recognizable but distorted from what we're familiar with, in addition to Taurus and Pleiades.",https://images-assets.nasa.gov/image/PIA21468/PIA21468~thumb.jpg,TRAPPIST-1 b,TRAPPIST-1,1,7,0,1.510825992,1.116,1.374,5.441939,398,0.095,0,0,2566,0.12,0.09,-3.257,17.02,0,terrestrial,,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring","is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,6.550218824,0.566830701,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,orange red,very small,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 6.5502188236680245 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This nan terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a nan, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
114,0,https://images-assets.nasa.gov/image/PIA21468/PIA21468~thumb.jpg,TRAPPIST-1 c,TRAPPIST-1,1,7,0,2.421936989,1.097,1.308,5.463993,340,0.109,0,0,2566,0.12,0.09,-3.257,17.02,0,terrestrial,,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring","is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,6.880734384,0.566398513,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,orange red,very small,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 6.880734383924462 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This nan terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a nan, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
115,0,https://images-assets.nasa.gov/image/PIA21468/PIA21468~thumb.jpg,TRAPPIST-1 d,TRAPPIST-1,1,7,0,4.049219131,0.788,0.388,4.366784,286,0.063,0,0,2566,0.12,0.09,-3.257,17.02,0,terrestrial,small,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring","is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,23.19587653,0.610052229,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,orange red,very small,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 23.19587652621683 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This small terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a small, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
116,0,https://images-assets.nasa.gov/image/PIA21468/PIA21468~thumb.jpg,TRAPPIST-1 e,TRAPPIST-1,1,7,0,6.101013184,0.92,0.692,4.901605,250,0.191,0,0,2566,0.12,0.09,-3.257,17.02,0,terrestrial,small,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring","is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,13.00578139,0.587314239,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,orange red,very small,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 13.005781392376617 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This small terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a small, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
117,0,https://images-assets.nasa.gov/image/PIA21468/PIA21468~thumb.jpg,TRAPPIST-1 f,TRAPPIST-1,1,7,0,9.207539558,1.045,1.039,5.022904,218,0.312,0,0,2566,0.12,0.09,-3.257,17.02,0,terrestrial,,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring","is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,8.662175226,0.582589258,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,orange red,very small,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 8.662175226405855 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This nan terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a nan, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
118,0,https://images-assets.nasa.gov/image/PIA21468/PIA21468~thumb.jpg,TRAPPIST-1 g,TRAPPIST-1,1,7,0,12.3524456,1.129,1.321,5.055986,197,0.379,0,0,2566,0.12,0.09,-3.257,17.02,0,terrestrial,,has high quantities of methane known for its rich blue color,is rich blue in color,"is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,6.813020813,0.581002105,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,orange red,very small,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, has high quantities of methane known for its rich blue color and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, has high quantities of methane known for its rich blue color and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 6.813020813075951 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This nan terrestrial planet has high quantities of methane known for its rich blue color. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a nan, terrestrial planet. The planet is rich blue in color, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
